"Capacitacao ITIL COBIT";Capacitacao ITIL-COBIT;
"Certificação em Agile Scrum Foundation";Agile Scrum;
"MBA em Gestão de TI ESTRATÉGIA E GOVERNANÇA DE TI";MBA TI;
"Capacitacao ITIL COBIT GOVERNANÇA DE TI";Capacitacao ITIL-COBIT;
"MBA em Gestão de TI GESTÃO DA OPERAÇÃO DE TI";MBA TI;
"Capacitacao ITIL COBIT PREPARATÓRIO COBIT";Capacitacao ITIL-COBIT;
"MBA em Gestão de TI";MBA TI;
"Certificação em Agile Scrum Foundation PREPARAÇÃO E EXAME DE CERTIFICAÇÃO";Agile Scrum;
"MBA em Gestão de TI FINANÇAS APLICADA À TI";MBA TI;
"Capacitacao ITIL COBIT PREPARATÓRIO ITIL";Capacitacao ITIL-COBIT;
"MBA em Gestão de TI LIDERANÇA E GESTÃO DE PESSOAS";MBA TI;
"Certificação em Agile Scrum Foundation ENTENDENDO AS METODOLOGIAS ÁGEIS E SCRUM";Agile Scrum;
"MBA em Gestão de TI GESTÃO DE PROCESSOS";MBA TI;
"Certificação em Agile Scrum Foundation DEFINIÇÃO DO TIME MULTIDISCIPLINAR NO SCRUM";Agile Scrum;
"Certificação em Agile Scrum Foundation PLANEJAMENTO E EXECUÇÃO DAS CERIMÔNIAS DO SCRUM";Agile Scrum;
"MBA em Gestão de TI GESTÃO DE PORTFOLIO, PROGRAMA E PROJETOS";MBA TI;
"MBA em Gestão de TI ALINHANDO TI AO NEGÓCIO";MBA TI;
"MBA em Gestão de TI GESTÃO DE FORNECEDORES";MBA TI;
